,0
length_url,0.0
length_hostname,0.0
ip,0.0
nb_dots,0.0
nb_hyphens,0.0
nb_at,0.0
nb_qm,0.0
nb_and,0.0
nb_eq,0.0
nb_underscore,0.0
nb_tilde,0.0
nb_percent,0.0
nb_slash,0.0
nb_star,0.0
nb_colon,0.0
nb_comma,0.0
nb_semicolumn,0.0
nb_dollar,0.0
nb_space,0.0
nb_www,0.0
nb_com,0.0
nb_dslash,0.0
http_in_path,0.0
https_token,0.0
ratio_digits_url,0.0
ratio_digits_host,0.0
punycode,0.0
port,0.0
tld_in_path,0.0
tld_in_subdomain,0.0
abnormal_subdomain,0.0
nb_subdomains,0.0
prefix_suffix,0.0
random_domain,0.0
shortening_service,0.0
path_extension,0.0
nb_redirection,0.0
nb_external_redirection,0.0
length_words_raw,0.0
char_repeat,0.0
shortest_words_raw,0.0
shortest_word_host,0.0
shortest_word_path,0.0
longest_words_raw,0.0
longest_word_host,0.0
longest_word_path,0.0
avg_words_raw,0.0
avg_word_host,0.0
avg_word_path,0.0
phish_hints,0.0
domain_in_brand,0.0
brand_in_subdomain,0.0
brand_in_path,0.0
suspecious_tld,0.0
statistical_report,0.0
nb_hyperlinks,0.0
ratio_intHyperlinks,0.0
ratio_extHyperlinks,0.0
nb_extCSS,0.0
ratio_extRedirection,0.0
ratio_extErrors,0.0
login_form,0.0
external_favicon,0.0
links_in_tags,0.0
ratio_intMedia,0.0
ratio_extMedia,0.0
iframe,0.0
popup_window,0.0
safe_anchor,0.0
onmouseover,0.0
right_clic,0.0
empty_title,0.0
domain_in_title,0.0
domain_with_copyright,0.0
whois_registered_domain,0.0
domain_registration_length,0.0
domain_age,0.0
web_traffic,0.0
dns_record,0.0
google_index,0.0
page_rank,0.0
status,0.0
